,nama_usaha,jenis_usaha,alamat,kelurahan,kecamatan,ada_nib,tidak_ada_nib,jumlah_karyawan_L,jumlah_karyawan_P,total_jumlah_karyawan,tahun,
1615,Jhonny,Penyediaan Akomodasi Lainnya,JL. SEPINGGAN BARU II NO. 127 RT. 002,Sepinggan,Balikpapan Selatan,v,x,0,1,1,2022,
1616,Pt. Buana Lestari,Penyediaan Akomodasi Lainnya,"Jl Jenderal Sudirman No.418 , Pasar Baru",Klandasan Ilir,Balikpapan Kota,v,x,8,12,20,2022,
1617,Masnah,Penyediaan Akomodasi Lainnya,Jl A.W Syahrani,Batu Ampar ,Balikpapan Utara,v,x,0,1,1,2022,
1618,Hellen Constantyah Bawera,Penyediaan Akomodasi Lainnya,Jl. Siaga Asri No. 88 RT. 026,Damai,Balikpapan Selatan,v,x,0,1,1,2022,
1619,Mudjiati,Penyediaan Akomodasi Lainnya,Jl. Soekarno Hatta Km. 8,Batu Ampar ,Balikpapan Utara,v,x,0,2,2,2022,
1620,Siti Nur Amna,Penyediaan Akomodasi Lainnya,Bangun Reksa (Perum polda) Blok K-12 RT. 49,Batu Ampar ,Balikpapan Utara,v,x,1,0,1,2022,
1621,Rusmila,Penyediaan Akomodasi Lainnya,Jl Sepinggn Baru II RT 97,Sepinggan,Balikpapan Selatan,v,x,2,0,2,2022,
1622,Syamsuddin,Penyediaan Akomodasi Lainnya,"JL. SUltan Hasanuddin Rt.01Desa/Kelurahan Kariangau, Kec. Balikpapan Barat, Kota Balikpapan, Provinsi Kalimantan Timur",Kariangau,Balikpapan Barat,v,x,1,0,1,2022,
1623,Salmon Boro,Penyediaan Akomodasi Lainnya,"JL. P ANTASARI no 90Desa/Kelurahan Sumber Rejo, Kec. Balikpapan Tengah, Kota Balikpapan, Provinsi Kalimantan Timur",Sumber Rejo ,Balikpapan Tengah,v,x,1,0,1,2022,
1624,Hj. Metty,Penyediaan Akomodasi Lainnya,"jl jend sudirman no 39 Desa/Kelurahan Damai Bahagia, Kec. Balikpapan Selatan, Kota Balikpapan, Provinsi Kalimantan Timur",Damai Bahagia,Balikpapan Selatan,v,x,1,0,1,2022,
1625,Gunawan,Penyediaan Akomodasi Lainnya,"Jalan Prapatan Dalam RT 08 No 32Desa/Kelurahan Telaga Sari, Kec. Balikpapan Kota, Kota Balikpapan, Provinsi Kalimantan Timur",Telaga Sari ,Balikpapan Kota,v,x,1,0,1,2022,
1626,Mamat,Penyediaan Akomodasi Lainnya,"Jl. D.I. PANJAITAN NO. 49Desa/Kelurahan Gunungsamarinda, Kec. Balikpapan Utara, Kota Balikpapan, Provinsi Kalimantan Timur",Gn. Samarinda,Balikpapan Utara,v,x,0,2,2,2022,
1627,Elah Nurhayati,Penyediaan Akomodasi Lainnya,"JL. 21 JANUARI NO.113 RT.005 Desa/Kelurahan Baru Tengah, Kec. Balikpapan Barat, Kota Balikpapan, Provinsi Kalimantan Timur",Baru Tengah,Balikpapan Barat,v,x,0,1,1,2022,
1628,Suprapto,Penyediaan Akomodasi Lainnya,"JL. MULAWARMAN RT.017Desa/Kelurahan Lamaru, Kec. Balikpapan Timur, Kota Balikpapan, Provinsi Kalimantan Timur",Lamaru,Balikpapan Timur,v,x,0,1,1,2022,
1629,Agus Rochmadon,Penyediaan Akomodasi Lainnya,"Jl.Inpres 2 RT.48 NO.39Desa/Kelurahan Muararapak, Kec. Balikpapan Utara, Kota Balikpapan, Provinsi Kalimantan Timur",Muara Rapak,Balikpapan Utara,v,x,0,1,1,2022,
1630,"Putu Meryana,Se",Penyediaan Akomodasi Lainnya,"JL. JEND. A. YANI NO.03 RT.09Desa/Kelurahan Gunungsari Ulu, Kec. Balikpapan Tengah, Kota Balikpapan, Provinsi Kalimantan Timur",Gn. Sari Ulu,Balikpapan Tengah,v,x,2,3,5,2022,
1631,Sumiyati,Penyediaan Akomodasi Lainnya,"JALAN SEPINGGAN BARU RT 49 NO 51Desa/Kelurahan Sepinggan Baru, Kec. Balikpapan Selatan, Kota Balikpapan, Provinsi Kalimantan Timur",Sepinggan Baru ,Balikpapan Selatan,v,x,0,1,1,2022,
1632,Herawati,Penyediaan Akomodasi Lainnya,"JL MT HARYONO KOMPLEK PERUMAHAN BDS II BLOK K NO 5 RT 25Desa/Kelurahan Sungainangka, Kec. Balikpapan Selatan, Kota Balikpapan, Provinsi Kalimantan Timur",Sungai Nangka,Balikpapan Selatan,v,x,0,1,1,2022,
1633,Nurlailah Ulfah,Penyediaan Akomodasi Lainnya,"JL MT HARYONO NO 52 RT 12. Damai Baru. Balikpapan Selatan. Kota Balikpapan. Kalimantan TimurDesa/Kelurahan Damai Baru, Kec. Balikpapan Selatan, Kota Balikpapan, Provinsi Kalimantan Timur",Damai Baru,Balikpapan Selatan,v,x,1,0,1,2022,
1634,Deri Ardianta Tarigan,Penyediaan Akomodasi Lainnya,"JL. GIRI REJO Desa/Kelurahan Karang Joang, Kec. Balikpapan Utara, Kota Balikpapan, Provinsi Kalimantan Timur",Karang Joang,Balikpapan Utara,v,x,1,0,1,2022,
1635,Rika Puspita Hati,Penyediaan Akomodasi Lainnya,"JL. MULAWARMAN PERUM BATAKAN NO. 05Desa/Kelurahan Manggar, Kec. Balikpapan Timur, Kota Balikpapan, Provinsi Kalimantan Timur",Manggar,Balikpapan Timur,v,x,1,0,1,2022,
1636,Sri Puji Widayanti,Penyediaan Akomodasi Lainnya,"JL. MULAWARMAN Desa/Kelurahan Manggar, Kec. Balikpapan Timur, Kota Balikpapan, Provinsi Kalimantan Timur",Manggar,Balikpapan Timur,v,x,1,0,1,2022,
1637,Ismail,Penyediaan Akomodasi Lainnya,"JL JEND SUDIRMAN NO 33Desa/Kelurahan Klandasan Ilir, Kec. Balikpapan Kota, Kota Balikpapan, Provinsi Kalimantan Timur",Klandasan Ilir,Balikpapan Kota,v,x,1,0,1,2022,
1638,Herliah Kuru,Penyediaan Akomodasi Lainnya,"JL. TANJUNG KELOR NO. 10 RT 010/RW 000Desa/Kelurahan Manggar Baru, Kec. Balikpapan Timur, Kota Balikpapan, Provinsi Kalimantan Timur",Manggar Baru,Balikpapan Timur,v,x,0,1,1,2022,
1639,Jacob Eddy Setio Tandiono,Penyediaan Akomodasi Lainnya,"Jl. AMD Dalam 0 RT. 004Desa/Kelurahan Gunungsamarinda Baru, Kec. Balikpapan Utara, Kota Balikpapan, Provinsi Kalimantan Timur",Gn. Samarinda Baru,Balikpapan Utara,v,x,0,2,2,2022,
1640,Sukamto,Penyediaan Akomodasi Lainnya,"JL ABDI PRAJA UTAMA NO. 20 C RT 27Desa/Kelurahan Sepinggan Baru, Kec. Balikpapan Selatan, Kota Balikpapan, Provinsi Kalimantan Timur",Sepinggan  Baru,Balikpapan Selatan,v,x,0,1,1,2022,
1641,Jacob Eddy Setio Tandiono,Penyediaan Akomodasi Lainnya,"Jl. AMD Dalam 0 RT. 004Desa/Kelurahan Gunungsamarinda Baru, Kec. Balikpapan Utara, Kota Balikpapan, Provinsi Kalimantan Timur",Gn. Samarinda Baru ,Balikpapan Utara,v,x,0,2,2,2022,
1642,Iriansyah,Penyediaan Akomodasi Lainnya,"Jl. Sepaku Laut No 20 Rt.08 Kel. Marga Sari Kec. Balikpapan BaratDesa/Kelurahan Marga Sari, Kec. Balikpapan Barat, Kota Balikpapan, Provinsi Kalimantan Timur",Megar Sari,Balikpapan Barat,v,x,0,1,1,2022,
1643,Mawan Syahriansyah,Penyediaan Akomodasi Lainnya,"JL BUNGA MATAHARI RT 01 NO 36Desa/Kelurahan Klandasan Ilir, Kec. Balikpapan Kota, Kota Balikpapan, Provinsi Kalimantan Timur",Klandasan Ilir,Balikpapan Kota,v,x,1,0,1,2022,
1644,Meli Herlina Situmorang,Penyediaan Akomodasi Lainnya,"Jln Soekarno Hatta Km 06 / Perum Polda Bangun ReksaDesa/Kelurahan Karang Joang, Kec. Balikpapan Utara, Kota Balikpapan, Provinsi Kalimantan Timur",Karang Joang,Balikpapan Utara,v,x,1,0,1,2022,
1645,Heru Hardiyan,Penyediaan Akomodasi Lainnya,"JL BALIKPAPAN BARU BLOK S2 NO. 8 RT 20Desa/Kelurahan Gunungsamarinda Baru, Kec. Balikpapan Utara, Kota Balikpapan, Provinsi Kalimantan Timur",Gn. Samarinda Baru,Balikpapan Utara,v,x,1,0,1,2022,
1646,Putri Cista Saraswati,Penyediaan Akomodasi Lainnya,"Bangun Reksa Blok B No 017Desa/Kelurahan Graha Indah, Kec. Balikpapan Utara, Kota Balikpapan, Provinsi Kalimantan Timur",Graha Indah,Balikpapan Utara,v,x,1,0,1,2022,
1647,William Ongko,Penyediaan Akomodasi Lainnya,"KONTRAKAN WILLY - RUMAH KONTRAKAN Jl. Sepaku Laut No. 43 Rt. 008 Rw. 000Desa/Kelurahan Marga Sari, Kec. Balikpapan Barat, Kota Balikpapan, Provinsi Kalimantan Timur",Marga Sari ,Balikpapan Barat,v,x,2,0,2,2022,
1648,Yuni Irtika,Penyediaan Akomodasi Lainnya,"Jl. AMD KAV PUTUT RT.058Desa/Kelurahan Graha Indah, Kec. Balikpapan Utara, Kota Balikpapan, Provinsi Kalimantan Timur",Graha Indah,Balikpapan Utara,v,x,1,0,1,2022,
1649,Sugeng Hariyanto,Penyediaan Akomodasi Lainnya,"Jl. AMD KAV PUTUT RT. 058Desa/Kelurahan Graha Indah, Kec. Balikpapan Utara, Kota Balikpapan, Provinsi Kalimantan Timur",Graha Indah,Balikpapan Utara,v,x,1,0,1,2022,
1650,Ratih Indriyani,Penyediaan Akomodasi Lainnya,"Jl. Mekarsari No.01Desa/Kelurahan Gunungsari Ilir, Kec. Balikpapan Tengah, Kota Balikpapan, Provinsi Kalimantan Timur",Gn. Sari Ilir,Balikpapan Tengah,v,x,1,0,1,2022,
1651,Nur Hasan,Penyediaan Akomodasi Lainnya,"Jalan Giri Rejo 2Desa/Kelurahan Karang Joang, Kec. Balikpapan Utara, Kota Balikpapan, Provinsi Kalimantan Timur",Karang Joang,Balikpapan Utara,v,x,0,1,1,2022,
1652,Ery Trisnawati,Penyediaan Akomodasi Lainnya,"Jl laksitarda no 17 Desa/Kelurahan Gunungsamarinda, Kec. Balikpapan Utara, Kota Balikpapan, Provinsi Kalimantan Timur",Gn. Samarinda ,Balikpapan Utara,v,x,0,1,1,2022,
1653,Kurnia Dewi Yunita Santi,Penyediaan Akomodasi Lainnya,"Jl Tiga Dalam Perum GuruDesa/Kelurahan Gunungsamarinda Baru, Kec. Balikpapan Utara, Kota Balikpapan, Provinsi Kalimantan Timur",Gn. Samarinda Baru,Balikpapan Utara,v,x,0,1,1,2022,
1654,"Dennis Dwi Cahya, A.Md.Keb",Penyediaan Akomodasi Lainnya,"JL. SUMBER REJO III NO. 14 RT. 040Desa/Kelurahan Sumber Rejo, Kec. Balikpapan Tengah, Kota Balikpapan, Provinsi Kalimantan Timur",Sumber Rejo ,Balikpapan Tengah,v,x,0,1,1,2022,
1655,Rahmad Yuliyono,Penyediaan Akomodasi Lainnya,"Jalan DaksaDesa/Kelurahan Sepinggan, Kec. Balikpapan Selatan, Kota Balikpapan, Provinsi Kalimantan Timur",Sepinggan,Balikpapan Selatan,v,x,1,0,1,2022,
1656,Ery Trisnawati,Penyediaan Akomodasi Lainnya,"Jl laksitarda no 17 Desa/Kelurahan Gunungsamarinda, Kec. Balikpapan Utara, Kota Balikpapan, Provinsi Kalimantan Timur",Gn. Samarinda,Balikpapan Utara,v,x,1,0,1,2022,
1657,Kurnia Dewi Yunita Santi,Penyediaan Akomodasi Lainnya,"Jl Tiga Dalam Perum GuruDesa/Kelurahan Gunungsamarinda Baru, Kec. Balikpapan Utara, Kota Balikpapan, Provinsi Kalimantan Timur",Gn. Samarinda Baru,Balikpapan Utara,v,x,1,0,1,2022,
1658,"Dennis Dwi Cahya, A.Md.Keb",Penyediaan Akomodasi Lainnya,"JL. SUMBER REJO III NO. 14 RT. 040Desa/Kelurahan Sumber Rejo, Kec. Balikpapan Tengah, Kota Balikpapan, Provinsi Kalimantan Timur",Sumber Rejo ,Balikpapan Tengah,v,x,1,0,1,2022,
1659,Rugaiyah,Penyediaan Akomodasi Lainnya,"PERUM BUKIT PERMATA SAKINAH BLOK C NO 05 Desa/Kelurahan Manggar, Kec. Balikpapan Timur, Kota Balikpapan, Provinsi Kalimantan Timur",Manggar,Balikpapan Timur,v,x,1,0,1,2022,
1660,Sonny Setyadhy,Penyediaan Akomodasi Lainnya,"JALAN RE.MARTADINATA RT.29Desa/Kelurahan Mekar Sari, Kec. Balikpapan Tengah, Kota Balikpapan, Provinsi Kalimantan Timur",Mekar Sari ,Balikpapan Tengah,v,x,2,3,5,2022,
1661,Anytha Eva Maria,Penyediaan Akomodasi Lainnya,"Karang Rejo 2 BalikpapanDesa/Kelurahan Karang Rejo, Kec. Balikpapan Tengah, Kota Balikpapan, Provinsi Kalimantan Timur",Karang Rejo ,Balikpapan Tengah,v,x,4,1,5,2022,
1662,Yuli Prihatin,Penyediaan Akomodasi Lainnya,"Jalan R.E. MartadinataDesa/Kelurahan Mekar Sari, Kec. Balikpapan Tengah, Kota Balikpapan, Provinsi Kalimantan Timur",Mekar Sari ,Balikpapan Tengah,v,x,1,1,2,2022,
1663,Tang Bersaudara Nusantara,Penyediaan Akomodasi Lainnya,"Jalan Projakal, Kec. Balikpapan Timur, Kota Balikpapan, Provinsi Kalimantan Timur",Graha Indah,Balikpapan Utara,v,x,0,1,1,2022,0
1664,Roisah,Penyediaan Akomodasi Lainnya,"Jalan CemaraDesa/Kelurahan Mekar Sari, Kec. Balikpapan Tengah, Kota Balikpapan, Provinsi Kalimantan Timur",Mekar Sari ,Balikpapan Tengah,v,x,1,1,2,2022,
1665,Eny Kuswinda,Penyediaan Akomodasi Lainnya,"Jl. DI. Panjaitan No. 72 C, D, E RT 7Desa/Kelurahan Sumber Rejo, Kec. Balikpapan Tengah, Kota Balikpapan, Provinsi Kalimantan Timur",Sumber Rejo ,Balikpapan Tengah,v,x,0,1,1,2022,
1666,Syamsiar,Penyediaan Akomodasi Lainnya,"JL SOEKARNO HATTA RT 010Desa/Kelurahan Karang Joang, Kec. Balikpapan Utara, Kota Balikpapan, Provinsi Kalimantan Timur",Karang Joang,Balikpapan Utara,v,x,1,0,1,2022,
1667,Irana Kesuma Dewi,Penyediaan Akomodasi Lainnya,"Jalan Siaga Dalam NO. 44 RT. 018Desa/Kelurahan Damai, Kec. Balikpapan Kota, Kota Balikpapan, Provinsi Kalimantan Timur",Damai,Balikpapan Kota,v,x,1,0,1,2022,
1668,Suhardi,Penyediaan Akomodasi Lainnya,"Jalan Bukit NiagaDesa/Kelurahan Klandasan Ilir, Kec. Balikpapan Kota, Kota Balikpapan, Provinsi Kalimantan Timur",Klandasan Ilir,Balikpapan Kota,v,x,1,0,1,2022,
1669,August Windy Sasmita,Penyediaan Akomodasi Lainnya,"JL.Arjuna No.45 Rt 32, Kec. Balikpapan Timur, Kota Balikpapan, Provinsi Kalimantan Timur",Baru Ilir,Balikpapan Barat,v,x,0,1,1,2022,
1670,Vera Octavia,Penyediaan Akomodasi Lainnya,"JL INTAN VII NO 11 RT 15Desa/Kelurahan Sepinggan, Kec. Balikpapan Selatan, Kota Balikpapan, Provinsi Kalimantan Timur",Sepinggan ,Balikpapan Selatan,v,x,0,1,1,2022,
1671,Ratih Ludfiana,Penyediaan Akomodasi Lainnya,"Komp Pgri HI.4 rt.73Desa/Kelurahan Gunungbahagia, Kec. Balikpapan Selatan, Kota Balikpapan, Provinsi Kalimantan Timur",Gn. Bahagia,Balikpapan Selatan,v,x,1,0,1,2022,
1672,Didin Cahya,Penyediaan Akomodasi Lainnya,"JL. BLORA IIDesa/Kelurahan Klandasan Ilir, Kec. Balikpapan Kota, Kota Balikpapan, Provinsi Kalimantan Timur",Klandasan Ilir,Balikpapan Kota,v,x,1,0,1,2022,
1673,Kamiarsih,Penyediaan Akomodasi Lainnya,"Jl mekarsari no 74 rt 22Desa/Kelurahan Gunungsari Ilir, Kec. Balikpapan Tengah, Kota Balikpapan, Provinsi Kalimantan Timur",Gn. Sari Ilir,Balikpapan Tengah,v,x,0,1,1,2022,
1674,Kos Puji Widodo,Penyediaan Akomodasi Lainnya,"JL. PRAPATAN DALAM NO.40, Desa/Kelurahan Telaga Sari, Kec. Balikpapan Kota, Kota Balikpapan, Provinsi Kalimantan Timur",Telaga Sari,Balikpapan Kota,v,x,1,0,1,2023,
1675,Kaltim Adventure Tours And Travel Services ,Biro Perjalanan Wisata,": Jalan Jenderal SudirmanDesa/Kelurahan Damai, Kec. Balikpapan Kota, Kota Balikpapan",Damai,Balikpapan Kota,v,x,5,5,10,2023,
1676,Kos Om Imun,Penyediaan Akomodasi Lainnya,"JALAN GAJAH MADA NO 17 RT 16Desa/Kelurahan Klandasan Ilir, Kec. Balikpapan Kota, Kota Balikpapan",Klandasan Ilir,Balikpapan Kota,v,x,1,0,1,2023,
1677,Rumah Kost,Penyediaan Akomodasi Lainnya,": jl siaga dalam bukit cinta Desa/Kelurahan Damai, Kec. Balikpapan Kota, Kota Balikpapan",Damai,Balikpapan Kota,v,x,1,0,1,2023,
1678,Kost,Penyediaan Akomodasi Lainnya,": JL. MT. HARYONO KOMPLEK BDI BLOK D NO.19, Desa/Kelurahan Sungainangka, Kec. Balikpapan Selatan, Kota Balikpapan",Sungai Nangka,Balikpapan Selatan,v,x,1,0,1,2023,
1679,Kost Kostan,Penyediaan Akomodasi Lainnya,"Klandasan UluDesa/Kelurahan Klandasan Ulu, Kec. Balikpapan Kota, Kota Balikpapan,",Klandasan Ulu,Balikpapan Kota,v,x,0,1,1,2023,
1680,Mitra Barokah Rent Car,Biro Perjalanan Wisata,"JALAN KOL SYARIFUDDIN YOES NO.21Desa/Kelurahan Sepinggan Baru, Kec. Balikpapan Selatan, Kota Balikpapan",Sepinggan Baru,Balikpapan Selatan,v,x,0,2,2,2023,
1681,Kfc Box Gedung Biru Balikpapan,Restoran,"JL. SOEKARNO HATTA KM 3,5 NO. 64 RT. 24 Desa/Kelurahan Batu Ampar, Kec. Balikpapan Utara, Kota Balikpapan",Batu Ampar,Balikpapan Utara,v,x,2,5,7,2023,
1682,Kost Kostan,Penyediaan Akomodasi Lainnya,"Jl. Mt Haryono dalam v gg. Damai no. 89Desa/Kelurahan Damai, Kec. Balikpapan Kota, Kota Balikpapan",Damai,Balikpapan Kota,v,x,1,0,1,2023,
1683,Jasa Penyewahan Kamar Kost,Penyediaan Akomodasi Lainnya,"Jl. LKMD No. 31 Rt. 05Desa/Kelurahan Batu Ampar, Kec. Balikpapan Utara, Kota Balikpapan",Batu Ampar,Balikpapan Utara,v,x,1,0,1,2023,
1684,Rumah Kos,Penyediaan Akomodasi Lainnya,"Jalan Markoni Dalam no 08 RT 45 klandasan Ilir Desa/Kelurahan Klandasan Ilir, Kec. Balikpapan Kota, Kota Balikpapan",Klandasan Ilir,Balikpapan Kota,v,x,0,3,3,2023,
1685,Vizta Gita Varunadwipa,Karaoke,"Jalan Jenderal SudirmanDesa/Kelurahan Damai, Kec. Balikpapan Kota, Kota Balikpapan",Damai,Balikpapan Kota,v,x,5,12,17,2023,
1686,Saraswati Jaya Makmur,Aktivitas Kebugaran Lainnya,"Jl.Tiung II No.01Desa/Kelurahan Gunungbahagia, Kec. Balikpapan Selatan, Kota Balikpapan",Gn. Bahagia,Balikpapan Selatan,v,x,0,2,2,2023,
1687,Legend Jaya,Restoran,"Komplek Ruko BSB Balikpapan Super Blok, Blok G 10 - 11Desa/Kelurahan Damai Bahagia, Kec. Balikpapan Selatan, Kota Balikpapan",Damai Bahagia,Balikpapan Selatan,v,x,2,2,4,2023,
1688,Kontrakan,Penyediaan Akomodasi Lainnya,"Jl. Soekarno Hatta RT 48 No 14Desa/Kelurahan Gunungsamarinda, Kec. Balikpapan Utara, Kota Balikpapan",Gn. Samarinda,Balikpapan Utara,v,x,1,0,1,2023,
1689,Jasa Travel Agen,Biro Perjalanan Wisata,"Komplek Balikpapan Regency Besakih VI No. 18Desa/Kelurahan Sepinggan Baru, Kec. Balikpapan Selatan, Kota Balikpapan",Sepinggan Baru,Balikpapan Selatan,v,x,0,2,2,2023,
1690,Rumah Kontrakan,Penyediaan Akomodasi Lainnya,"Jl, Mulawarman No. 35 RT. 003Desa/Kelurahan Lamaru, Kec. Balikpapan Timur, Kota Balikpapan",Lamaru,Balikpapan Timur,v,x,1,0,1,2023,
1691,Timur Borneo Indonesia,Karaoke,"Jalan Syarifudin Yoes No. 125 RT. 11 Desa/Kelurahan Sepinggan Raya, Kec. Balikpapan Selatan, Kota Balikpapan",Sepinggan Raya,Balikpapan Selatan,v,x,25,25,50,2023,
1692,Sembako,Penyediaan Akomodasi Lainnya,"Jl. Projakal km 5.5 NO 132Desa/Kelurahan Graha Indah, Kec. Balikpapan Utara, Kota Balikpapan",Graha Indah,Balikpapan Utara,v,x,1,0,1,2023,
1693,Kost,Penyediaan Akomodasi Lainnya,"JL. D.I. PANJAITAN RT. 04 NO. 143 KEL. SUMBER REJO KEC. BALIKPAPAN TENGAHDesa/Kelurahan Sumber Rejo, Kec. Balikpapan Tengah, Kota Balikpapan",Sumber Rejo,Balikpapan Tengah,v,x,0,1,1,2023,
1694,Cipta Prima Transpot Mandiri,Biro Perjalanan Wisata,"Jalan APT Pranoto (JALAN DONDANG) NOMOR 06Desa/Kelurahan Klandasan Ilir, Kec. Balikpapan Kota, Kota Balikpapan",Klandasan Ilir,Balikpapan Kota,v,x,0,1,1,2023,
1695,Artomoro Brama Wisata,Biro Perjalanan Wisata,Office Tower Grand Sudirman Balikpapan (Panin Tower) Lt. 8 Jl. Jend. Sudirman No. 7 Balikpapan Kelurahan: Klandasan Ilir Kecamatan: Balikpapan Kota Kab/Kota: Kota Balikpapan,Klandasan Ilir,Balikpapan Kota,v,x,0,2,2,2023,
1696,Jasa Penyewaan Kos,Penyediaan Akomodasi Lainnya,"l. Mulawarman, gang tenang 3 no. 11 bDesa/Kelurahan Sepinggan, Kec. Balikpapan Selatan, Kota Balikpapan",Sepinggan,Balikpapan Selatan,v,x,1,0,1,2023,
1697,M. Kasim,Penyediaan Akomodasi Lainnya,"Jalan Jenderal Sudirman Nomor 71Desa/Kelurahan Damai, Kec. Balikpapan Kota, Kota Balikpapan",Damai,Balikpapan Kota,v,x,2,0,2,2023,
1698,Kosan,Penyediaan Akomodasi Lainnya,"jln lestari gg lestari 5 rt 60 n0 09Desa/Kelurahan Graha Indah, Kec. Balikpapan Utara, Kota Balikpapan",Graha Indah,Balikpapan Utara,v,x,0,1,1,2023,
1699,Imperial Kitchen & Dimsum Pentacity Mall Balikpapan,Restoran,"Imperial Kitchen & Dimsum Pentacity Mall Balikpapan Lower Ground Unit 6, Jalan Jenderal Sudirman No.47 BKel. Gunung Bahagia, Kec. Balikpapan Selatan, Kota Balikpapan",Gn. Bahagia,Balikpapan Selatan,v,x,10,5,15,2023,
1700,Saiful Hadi Saputra,Penyediaan Akomodasi Lainnya,"Perum Griya Prima Lestari Blok S-25 RT. 050Desa/Kelurahan Graha Indah, Kec. Balikpapan Utara, Kota Balikpapan",Graha Indah,Balikpapan Utara,v,x,2,0,2,2023,
1701,Kos-Kosan,Penyediaan Akomodasi Lainnya,"Jalan KesatrianDesa/Kelurahan Graha Indah, Kec. Balikpapan Utara, Kota Balikpapan",Graha Indah,Balikpapan Utara,v,x,1,0,1,2023,
1702,Kosan/Kontrakan,Penyediaan Akomodasi Lainnya,"Gunung GunturDesa/Kelurahan Gunungsari Ulu, Kec. Balikpapan Tengah, Kota Balikpapan",Gn. Sari Ulu,Balikpapan Tengah,v,x,1,0,1,2023,
1703,Kos Kosan,Penyediaan Akomodasi Lainnya,"Komplek PGRI Blok E1 RT. 48 Kel. Gunung Bahagia Kec. Balikpapan SelatanDesa/Kelurahan Manggar, Kec. Balikpapan Timur, Kota Balikpapan",Gn. Bahagia,Balikpapan Selatan,v,x,1,3,4,2023,
1704,Niagara Pusaka Jaya,Biro Perjalanan Wisata,"Jalan Bukit Cinta Blok C Nomor 32Desa/Kelurahan Damai, Kec. Balikpapan Kota, Kota Balikpapan",Damai,Balikpapan Kota,v,x,3,2,5,2023,
1705,Jasa Penyewaan Rumah Kontrakan,Penyediaan Akomodasi Lainnya,"JL. BUKIT CINTA NO. 77/A Desa/Kelurahan Damai, Kec. Balikpapan Kota, Kota Balikpapan",Damai,Balikpapan Kota,v,x,2,0,2,2023,
1706,Kamar Kos-Kos An,Penyediaan Akomodasi Lainnya,"Jl. Soekarno Hatta GG.Sembada No.73 RT.23Desa/Kelurahan Gunungsamarinda, Kec. Balikpapan Utara, Kota Balikpapan",Gn. Samarinda,Balikpapan Utara,v,x,0,1,1,2023,
1707,"Penyedia Hotel,Tiket Perjalanan Dan Travel",Penyediaan Akomodasi Lainnya,"alan SubulussalamDesa/Kelurahan Batu Ampar, Kec. Balikpapan Utara, Kota Balikpapan",Batu Ampar,Balikpapan Utara,v,x,0,2,2,2023,
1708,"Sogogi Korean Resto ""Shabu Grill""",Restoran,"Jl. Wiluyo Puspoyudo No. 31Desa/Kelurahan Klandasan Ulu, Kec. Balikpapan Kota, Kota Balikpapan",Klandasan Ulu,Balikpapan Kota,v,x,10,3,13,2023,
1709,Kontrakan / Kos-Kosan,Penyediaan Akomodasi Lainnya,"JL PROKLAMASI NO. 26 RT 035Desa/Kelurahan Manggar, Kec. Balikpapan Timur, Kota Balikpapan",Manggar,Balikpapan Timur,v,x,1,0,1,2023,
1710,Hayyu Berkah Steak,Restoran,"Jl. Jendral Sudirman No.24 RT.049Desa/Kelurahan Gunungbahagia, Kec. Balikpapan Selatan, Kota Balikpapan",Gn. Bahagia,Balikpapan Selatan,v,x,2,2,4,2023,
1711,Syarif Muhammad Nur Badwany,Penyediaan Akomodasi Lainnya,"balikpapanDesa/Kelurahan Damai, Kec. Balikpapan Kota, Kota Balikpapan",Damai,Balikpapan Kota,v,x,0,1,1,2023,
1712,Asia Victori Sukses Borneo ,Restoran,"Jalan Gajah Mada No. 22Desa/Kelurahan Klandasan Ilir, Kec. Balikpapan Kota, Kota Balikpapan",Klandasan Ilir,Balikpapan Kota,v,x,7,15,22,2023,
1713,Kost,Penyediaan Akomodasi Lainnya,"Jl. Gajah Mada No 4 Rt. 09 , Kec. Balikpapan Timur, Kota Balikpapan",0,Balikpapan Timur,v,x,2,0,2,2023,
1714,Kos-Kosan,Penyediaan Akomodasi Lainnya,"JL. SEI WAIN KM. 15 NO. 36Desa/Kelurahan Karang Joang, Kec. Balikpapan Utara, Kota Balikpapan",Karang Joang,Balikpapan Utara,v,x,1,0,1,2023,
1715,Jasa,Penyediaan Akomodasi Lainnya,"JL JEND A YANI NO.42Desa/Kelurahan Gunungsari Ulu, Kec. Balikpapan Tengah, Kota Balikpapan",Gn. Sari Ulu,Balikpapan Tengah,v,x,1,0,1,2023,
1716,Jasa Kontrakan Rumah,Penyediaan Akomodasi Lainnya,"JL. III NO. 51Desa/Kelurahan Gunungsamarinda, Kec. Balikpapan Utara, Kota Balikpapan",Gunungsamarinda,Balikpapan Utara,v,x,1,1,2,2023,
1717,De Cafe Restaurant And Bakery,Restoran,"Jl. jend. Sudirman Komp. Ruko Bandar Balikpapan Blok A No 11Desa/Kelurahan Klandasan Ulu, Kec. Balikpapan Kota, Kota Balikpapan",Klandasan Ulu,Balikpapan Kota,v,x,10,26,36,2023,
1718,Jayatera Adhya Swasta,Restoran,"Jalan Sepinggan BaruDesa/Kelurahan Sepinggan, Kec. Balikpapan Selatan, Kota Balikpapan",Sepinggan,Balikpapan Selatan,v,x,0,2,2,2023,
