,nama_usaha,jenis_usaha,alamat,kelurahan,kecamatan,ada_nib,tidak_ada_nib,jumlah_karyawan_L,jumlah_karyawan_P,total_jumlah_karyawan,tahun,
71,Rishobar Barber,Barbershop,jl.abdi praja,Sepinggan Baru,Balikpapan Selatan,x,v,1,1,2,2021,
72,Keluncum Barber Shop,Barbershop,Ruko Sentra Erop Blok AB9 no 29,Damai,Balikpapan Selatan,v,x,3,1,4,2021,
73,Gentle Fox Barbershop,Barbershop,Ruko Bb Blok AB9 -03 Belakang mall fantasy,Damai,Balikpapan Selatan,v,x,6,1,7,2021,
74,Barbershop Mr. Bugis,Barbershop,JL. SEPINGGAN BARU RT. 32,Sepinggan Baru,Balikpapan Selatan,v,x,1,0,1,2021,
75,Mister Klimis,Barbershop,BPP REGENCY W. 4,Gn. Bahagia,Balikpapan Selatan,v,x,2,0,2,2021,
76,Barbershop Jaya,Barbershop,JL. Mayjen Sutoyo,Klandasan Ilir,Balikpapan Kota,x,x,4,0,4,2021,
77,Kapten Barber Shope,Barbershop,JL. Mayjen Sutoyo,Klandasan Ilir,Balikpapan Kota,x,x,4,0,4,2021,
78,Sahabat Travel,Biro Perjalanan Wisata,DEPAN Pintu 4 Pelabuhan Semayang,Prapatan,Balikpapan Kota,v,x,1,1,2,2021,
79,Cv. Kaltim Jaya Abadi,Biro Perjalanan Wisata,JL. Yoshidarso,Prapatan,Balikpapan Kota,v,x,2,0,2,2021,
80,Cv. Semarang Indah,Biro Perjalanan Wisata,JL. Yoshidarso,Prapatan,Balikpapan Kota,v,x,1,1,2,2021,
81,Travel,Biro Perjalanan Wisata,JL. Yoshidarso No.03,Prapatan,Balikpapan Kota,v,x,2,1,3,2021,
82,Cv. Mahakam,Biro Perjalanan Wisata,Yosudarso,Prapatan,Balikpapan Kota,v,x,0,2,2,2021,
83,Bandara Tiket,Biro Perjalanan Wisata,Jl. Ahmad Yani,Klandasan Ilir,Balikpapan Kota,x,v,0,2,2,2021,
84,Pt. Totogasono Sekawan,Biro Perjalanan Wisata,Jl. Ahmad Yani,Klandasan Ilir,Balikpapan Kota,v,x,16,25,41,2021,
85,Pt. Aero Globe Indomera,Biro Perjalanan Wisata,Jl. Ahmad Yani,Klandasan Ilir,Balikpapan Kota,v,x,2,2,4,2021,
86,Abadi Tour N Trevel,Biro Perjalanan Wisata,Jl Mekar Sari no 2A Rt 29,Gn. Sari Ilir,Balikpapan Tengah,v,x,0,3,3,2021,
87,Pt.Arafi Berkah,Biro Perjalanan Wisata,Jl.wonosari,Gn. Sari Ilir,Balikpapan Tengah,v,x,0,2,2,2021,
88,Kangoroo Premium,Biro Perjalanan Wisata,Jl. Jend. Sudirman,Damai,Balikpapan Kota,x,x,19,2,21,2021,
89,Pt Salwa Abadi,Biro Perjalanan Wisata,Jl. Kerung perum Bukit Villa B7/17 Rt. 33 Kel. Gunung Bahagia Kec. Balikpapan,Gn. Bahagia,Balikpapan Selatan,v,x,1,1,2,2021,
90,Pt. Alfa Naraya Mulia,Biro Perjalanan Wisata,Komp. Taman sari bukit mutiara indah ruko 17-A Rt. 11 Kel. Samarinda Baru Kec. Balikpapan Utara,Samarinda Baru,Balikpapan Utara,x,x,1,1,2,2021,
91,Pt. Lestari Indah Jaya Tiga Dua Delapan,Biro Perjalanan Wisata,"Jl. Soekarno Hatta No 66 Rt 01 Kel. Muara Rapak, Kec. Balikpapan Utara",Muara Rapak,Balikpapan Utara,x,x,2,2,4,2021,
92,Pt. Mitra Eca Cendana,Biro Perjalanan Wisata,"Jl. Syarifuddin Yoes Ruko Pelangi Blok B-27 Kel.Sepinggan Baru, Kec. Balikpapan Selatan",Sepinggan Baru,Balikpapan Selatan,x,x,3,3,6,2021,
93,Pt. Travelsya Wisata Indonesia,Biro Perjalanan Wisata,"Jl. Kol. H. Syarifuddin Yoes RT. 41 Kel. Gn. Bahagia, Kec. Balikpapan Selatan",Gn. Bahagia,Balikpapan Selatan,x,x,1,1,2,2021,
94,Pt. Pratasaba Badra Raharja,Biro Perjalanan Wisata,"Jl. Mulawarman No. 122 D RT.32 Kel. Sepinggan Raya, Kec. Balikpapan Selatan",Sepinggan Raya,Balikpapan Selatan,x,x,1,1,2,2021,
95,Pt. Karunia Rizqi Wisata,Biro Perjalanan Wisata,"Jl. Kapten P Tendean No. 49 RT. 51 Kel. Gn.Sari, Kec.Balikpapan Tengah",Gn. Sari,Balikpapan Selatan,x,x,2,2,4,2021,
96,Pt. Fathan Wisata,Biro Perjalanan Wisata,"Jl. Blora 1 No. 94 RT. 22 Kel. Klandasan Ilir, Kec. Balikpapan Kota",Klandasan Ilir,Balikpapan Kota,x,x,2,2,4,2021,
97,Pt. Inayah Barokah Perdana Tour & Travel,Biro Perjalanan Wisata,"Jl. Somber Baru RT.40 Kel Margo Mulyo, Kec. Balikpapan Barat",Margo Mulyo,Balikpapan Barat,x,x,1,0,1,2021,
98,Pt. Warna Pelangi Tour & Travel,Biro Perjalanan Wisata,"Jl. Jend. Sudirman Ruko Bandar Bpp Blok NI No. 22 RT.01 Kel. Klandasan Ulu, Kec. Balikpapan Kota",Klandasan Ulu,Balikpapan Kota,x,x,2,2,4,2021,
99,Roah Amanah Wisata,Biro Perjalanan Wisata,Jl. Ranah Asri Blok No. 42 RT. 59 Kelurahan Batu Ampar Kecamatan Balikpapan Utara,Batu Ampar,Balikpapan Utara,x,x,2,2,4,2021,
100,Pt. Multazam Wisata Rohani,Biro Perjalanan Wisata,Jl. Markoni Atas No. 52 RT. 45 Kelurahan Klandasan Ilir Kecamatan Balikpapan Kota,Klandasan Ilir,Balikpapan Kota,x,x,1,1,2,2021,
101,Pt. Mitra Eca Cendana,Biro Perjalanan Wisata,"Jl. Syarifuddin Yoes Ruko Pelangi Blok B-27 Kel.Sepinggan Baru, Kec. Balikpapan Selatan",Sepinggan Baru,Balikpapan Selatan,x,x,3,3,6,2021,
102,Pt. Aisya Nur Islami,Biro Perjalanan Wisata,Jl. Soekarno Hatta Km. 5 Perum Griya Lestari Blok D I RT. 49 Kelurahan Graha Indah Kecamatan Balikpapan Utara,Graha Indah,Balikpapan Utara,x,x,4,4,8,2021,
103,Cv. Ria Karya Usaha,Biro Perjalanan Wisata,Jl. Arjuna Gn. Polisi RT. 70 No. 21,Muara Rapak,Balikpapan Utara,x,x,4,4,8,2021,
104,Pt. Tropical Adventure Nusantara Tan Tours & Travel,Biro Perjalanan Wisata,Komp Alam Sepinggan Asri II Blok B No. 11-C RT. 24,Sepinggan,Balikpapan Selatan,x,x,1,2,3,2021,
105,Pt. Srikandi Jaya Tour & Travel,Biro Perjalanan Wisata,Jl. DI PANJAITAN NO 54 RT 84 KEL. KARANG REJO. KEC. BALIKPAPAN TENGAH,Karang Rejo,Balikpapan Tengah,x,x,1,1,2,2021,
106,Cv. Asih Sejati,Biro Perjalanan Wisata,"JL. MAYJEND SUTOYO BIKIT CINTA RT. 43 NO 191 KEL. KLANDASAN ILIR, KEC. BALIKPAPAN KOTA",Klandasan Ilir,Balikpapan Kota,x,x,1,1,2,2021,
107,Tawaf Travel,Biro Perjalanan Wisata,BPP REGENCY W.6 NO. 21,Gn.bahagia,Balikpapan Selatan,x,x,1,0,1,2021,
108,Travel Coffee Shop,CAFE,JL.MULAWARMAN RT.04 NO.3 A,Manggar,Balikpapan Timur,x,v,2,2,4,2021,
109,Auss… Kah,CAFE,"JL, MULAWARMAN RT.51",Manggar Baru,Balikpapan Timur,x,v,0,4,4,2021,
110,Langkah Kopi,CAFE,JL.MULAWARMAN RT.57 NO.64,Manggar,Balikpapan Timur,v,x,1,1,2,2021,
111,Kopi Dari Hati & Toast,CAFE,JL.MULAWARMAN RT.41 NO.02,Manggar,Balikpapan Timur,v,x,2,3,5,2021,
112,Kedai Dan Café Seroja,CAFE,"JL, MULAWARMAN RT.05",Teritip,Balikpapan Timur,v,x,0,6,6,2021,
113,Kedai Kita,CAFE,JL. MULAWARMAN RT.18 RW.02,Lamaru,Balikpapan Timur,v,x,0,2,2,2021,
114,Khwla Coffe Shop,CAFE,JL. MULAWARMAN RT.25,Lamaru,Balikpapan Timur,x,v,0,2,2,2021,
115,Teraz Coffe,CAFE,JL.MULAWARMAN RT.28 NO.72,Manggar,Balikpapan Timur,v,x,0,8,8,2021,
116,Fourth Place,CAFE,BORNEO PARADISO RUKO MOHPGANI 1,Batakan,Balikpapan Selatan,v,x,1,1,2,2021,
117,Lokal Cpffe N Eatry,CAFE,JL.MULAWARMAN BLOK A NO.07,Batakan,Balikpapan Selatan,x,v,3,0,3,2021,
118,Janji Jiwa Mulawarman,CAFE,JL.MULAWARMAN NO.94,Sepinggan,Balikpapan Selatan,v,x,0,4,4,2021,
119,Phan-Phan,CAFE,JL. MARSMA R. ISWAHYUDI NO.18A,Sepinggan Raya,Balikpapan Selatan,x,v,0,2,2,2021,
120,Kopi Dari Hati,CAFE,JL. MARSMA R. ISWAHYUDI RT.25 RUKO,Sepinggan Raya,Balikpapan Selatan,v,x,1,1,2,2021,
121,Janji Jiwa,CAFE,JL. MARSMA R. ISWAHYUDI NO.27,Sepinggan Raya,Balikpapan Selatan,v,x,3,1,4,2021,
